full_name,gender,classification_method,role,total_mentions,mentions_openai,mentions_anthropic,mentions_perplexity,mentions_gemini,mentions_by_category,first_mention_context
Sophie Brüggemann,F,gender-guesser,analyst,1,0,0,1,0,"{""data and analytics"": 1}","Helen Pollitt, Melissa Garren, Sophie Brüggemann: Changing data analytics landscapes through expertise and industry impact."
Karen Matthys,F,gender-guesser,vendor_exec,1,0,0,1,0,"{""data and analytics"": 1}","Karen Matthys: Executive at Stanford ICME, bridging data science with industry and labs."
Daniel Bos,M,gender-guesser,vendor_exec,4,0,0,4,0,"{""data and analytics"": 4}","Daniel Bos (Senior Director of Data and Analytics, Just Eat Takeaway.com) describes their role as enabling organizations to harness data assets for tangible impact"
Raymond Boyle,M,gender-guesser,vendor_exec,4,0,0,4,0,"{""data and analytics"": 4}","Raymond Boyle (VP, Data, Analytics, AI at Hyatt) positions them as orchestrators embedding AI into business systems"
Abhishek Narayan Singh,M,llm-high,practitioner,4,0,0,4,0,"{""data and analytics"": 4}",leaders like Abhishek Narayan Singh (Merck & Co) and Abhishek Khandelwal (Barclays UK) stressing cross-functional roles in strategy and value delivery
Abhishek Khandelwal,M,llm-high,vendor_exec,2,0,0,2,0,"{""data and analytics"": 2}",leaders like Abhishek Narayan Singh (Merck & Co) and Abhishek Khandelwal (Barclays UK) stressing cross-functional roles in strategy and value delivery
Sachin Mistry,M,gender-guesser,practitioner,2,0,0,2,0,"{""data and analytics"": 2}","Supporting voices from North America and Europe, such as Sachin Mistry (Ares Management) and Mateus Morato Fantini (Informa PLC), underscore a shift toward strategic partnerships"
Mateus Morato Fantini,M,gender-guesser,vendor_exec,2,0,0,2,0,"{""data and analytics"": 2}","Supporting voices from North America and Europe, such as Sachin Mistry (Ares Management) and Mateus Morato Fantini (Informa PLC), underscore a shift toward strategic partnerships"
Amy Lenander,F,gender-guesser,practitioner,1,0,0,1,0,"{""data and analytics"": 1}",Amy Lenander: Ranked #1 most influential in North American data and AI as Chief Data Officer at Capital One.
Jeff Tantsura,M,gender-guesser,practitioner,11,0,5,5,1,"{""networking and telecommunications"": 11}","Jeff Tantsura – Senior Principal Network Architect at Azure Networking, podcast host, and advisor to networking startups"
Daniel Dib,M,gender-guesser,practitioner,3,0,0,3,0,"{""networking and telecommunications"": 3}","Daniel Dib – Senior Network Architect specializing in routing, switching, and security, with content on certifications"
Matt Conran,M,gender-guesser,practitioner,12,0,0,12,0,"{""networking and telecommunications"": 12}","Matt Conran – Cloud and network architecture specialist with 20+ years of experience in design, security, and SD-WAN"
Russ White,M,gender-guesser,practitioner,56,0,17,16,23,"{""networking and telecommunications"": 56}","Russ White – Infrastructure architect, podcast co-host, and author on network architecture"
Ben Hendrick,M,gender-guesser,vendor_exec,3,0,0,3,0,"{""networking and telecommunications"": 3}",Ben Hendrick – Chief Architect at Microsoft with nearly 35 years of network and security experience
John Stankey,M,gender-guesser,vendor_exec,13,0,6,6,1,"{""networking and telecommunications"": 13}",John Stankey – CEO of AT&T
Nick Read,M,gender-guesser,founder_ceo,6,0,0,6,0,"{""networking and telecommunications"": 6}",Nick Read – CEO of Vodafone Group
Timotheus Höttges,M,gender-guesser,vendor_exec,4,0,0,4,0,"{""networking and telecommunications"": 4}",Timotheus Höttges – CEO of Deutsche Telekom
Guo Ping,unclassified,unclassified,vendor_exec,5,0,0,5,0,"{""networking and telecommunications"": 5}",Guo Ping – Rotating Chairman of Huawei
Danielle Rios Royston,F,gender-guesser,founder_ceo,15,0,0,15,0,"{""networking and telecommunications"": 15}","Danielle Rios Royston – Founder and CEO of TelcoDR, known as a ""Telco Cloud Evangelist"" advocating cloud-native solutions"
Hamish White,M,gender-guesser,founder_ceo,15,0,0,15,0,"{""networking and telecommunications"": 15}","Hamish White – Founder and CEO of Mobilise, expert in digital transformation and eSIM technology implementation"
Mark Birkhead,M,gender-guesser,practitioner,7,0,0,7,0,"{""data and analytics"": 7}",Notable figures include Mark Birkhead (Firmwide Chief Data Officer at JPMorgan Chase)
Katya Andresen,F,gender-guesser,vendor_exec,7,0,0,7,0,"{""data and analytics"": 7}",Katya Andresen (Chief Digital & Analytics Officer at The Cigna Group)
Franziska Bell,F,gender-guesser,vendor_exec,7,0,0,7,0,"{""data and analytics"": 7}","Franziska Bell (Chief Data, AI & Analytics Officer at Ford Motor)"
Michelle Gansle,F,gender-guesser,vendor_exec,5,0,0,5,0,"{""data and analytics"": 5}",Other prominent corporate leaders include Michelle Gansle at McDonald's
Ashley Regner,unclassified,unclassified,vendor_exec,1,0,0,1,0,"{""data and analytics"": 1}",Ashley Regner at Wells Fargo
Andres Vives,M,gender-guesser,vendor_exec,2,0,0,2,0,"{""data and analytics"": 2}",Andres Vives at Visa
Kyle Pudenz,M,llm-high,vendor_exec,1,0,0,1,0,"{""data and analytics"": 1}","Kyle Pudenz (SVP, Enterprise Data & Analytics at Cencora), Katya Andresen (Chief Digital & Analytics Officer at The Cigna Group)"
Mano Mannoochahr,M,gender-guesser,vendor_exec,5,0,0,5,0,"{""data and analytics"": 5}","Mano Mannoochahr (Chief Data, Analytics & AI Officer at Verizon), Andy Markus (Chief Data & AI Officer at AT&T)"
Dave Salvagnini,M,gender-guesser,practitioner,5,0,0,5,0,"{""data and analytics"": 5}",Dave Salvagnini (Chief Data & AI Officer at NASA)[1].
Susan Doniz,F,gender-guesser,vendor_exec,5,0,0,5,0,"{""data and analytics"": 5}","Susan Doniz (Walt Disney, Chief Information & Data Officer)"
Mark Hardy,M,gender-guesser,vendor_exec,5,0,0,5,0,"{""data and analytics"": 5}","Mark Hardy (Walmart, SVP, Head of Walmart Data Ventures)"
Jeff Hawkins,M,gender-guesser,vendor_exec,2,0,0,2,0,"{""data and analytics"": 2}","Jeff Hawkins (The Hartford, EVP, Chief Data, AI and Operations Officer)"
Neema Raphael,F,llm-high,vendor_exec,5,0,0,5,0,"{""data and analytics"": 5}","Neema Raphael (Goldman Sachs, Chief Data Officer, Partner, Data & AI)"
Dr. Haroon Abbu,M,gender-guesser,vendor_exec,3,0,0,3,0,"{""data and analytics"": 3}","DataIQ 100 alumni (e.g., Dr. Haroon Abbu)"
Randy Lao,unclassified,unclassified,influencer,3,0,0,3,0,"{""data and analytics"": 3}","Kaggle influencers (e.g., Randy Lao, Geoffrey Hinton)"
Orhan Ergun,M,gender-guesser,practitioner,13,0,0,13,0,"{""networking and telecommunications"": 13}","Top experts in networking include Greg Ferro, Ivan Pepelnjak, Orhan Ergun, David Bombal, Tom Hollingsworth, and Russ White"
David Bombal,M,gender-guesser,practitioner,7,0,0,7,0,"{""networking and telecommunications"": 7}",David Bombal: Prominent for practical networking education and certifications
Panos M. Pardalos,M,gender-guesser,academic,5,0,0,5,0,"{""networking and telecommunications"": 5}","Academic and specialized experts listed in directories include Panos M. Pardalos, Timothy Wu, and William Lehr"
William Lehr,M,gender-guesser,academic,3,0,0,3,0,"{""networking and telecommunications"": 3}","Academic and specialized experts listed in directories include Panos M. Pardalos, Timothy Wu, and William Lehr"
"Alex ""Sandy"" Pentland",M,gender-guesser,academic,3,0,0,3,0,"{""data and analytics"": 3}","Data Science Community: Randy Lao, Alex Pentland, Geoffrey Hinton (Kaggle-recognized)"
Rick Lievano,M,gender-guesser,vendor_exec,7,0,0,7,0,"{""networking and telecommunications"": 7}","Rick Lievano, Worldwide CTO for Telco Industry at Microsoft, focusing on AI-powered networks, cloud partnerships, and standards like MEF to innovate with telco customers."
Dr. Jaap Haartsen,M,gender-guesser,other,7,0,0,7,0,"{""networking and telecommunications"": 7}","Dr. Jaap Haartsen, inventor of Bluetooth, whose work revolutionized wireless connectivity, IoT, and device interoperability."
Rajeev Suri,M,gender-guesser,vendor_exec,6,0,3,3,0,"{""networking and telecommunications"": 5, ""ICT"": 1}","Rajeev Suri (Former CEO, Nokia), expert in mobile networks and infrastructure"
Pekka Lundmark,M,gender-guesser,vendor_exec,6,0,2,1,3,"{""networking and telecommunications"": 6}",Pekka Lundmark (Nokia CEO)
David Michelson,M,gender-guesser,academic,1,0,0,1,0,"{""networking and telecommunications"": 1}","Academics and others: Panos M. Pardalos, Timothy Wu, William Lehr, David Michelson (propagation expert)."
Rima Qureshi,F,gender-guesser,vendor_exec,2,0,0,1,1,"{""networking and telecommunications"": 2}","Rima Qureshi (Former CTO, Verizon)."
Gigi Sohn,M,gender-guesser,other,2,0,0,1,1,"{""networking and telecommunications"": 1, ""data and analytics"": 1}",Gigi Sohn (Telecom policy advocate).
Göran Marby,M,gender-guesser,practitioner,1,0,0,1,0,"{""networking and telecommunications"": 1}","Göran Marby (CEO, ICANN): Influences internet governance tied to telecom infrastructure."
Francois Bar,M,llm-high,academic,1,0,0,1,0,"{""networking and telecommunications"": 1}","For academic experts, sources like Expertise Finder list figures such as Panos M. Pardalos and Francois Bar."
"Poor, H. Vincent",M,llm-high,academic,6,0,0,6,0,"{""networking and telecommunications"": 6}",H. Vincent Poor from Princeton University
"Bovik, Alan C.",M,llm-high,academic,3,0,0,3,0,"{""networking and telecommunications"": 3}",Alan C. Bovik from the University of Texas at Austin
"Boneh, Dan",M,llm-high,academic,19,0,14,3,2,"{""networking and telecommunications"": 3, ""cybersecurity"": 16}",Dan Boneh from Stanford University
"Wainwright, Martin J.",M,llm-high,academic,6,0,0,6,0,"{""networking and telecommunications"": 6}",Martin J. Wainwright from MIT
"Shannon, Claude E.",M,llm-high,academic,25,0,6,8,11,"{""networking and telecommunications"": 22, ""ICT"": 2, ""data and analytics"": 1}",Claude E. Shannon from MIT
Andy Hicks,M,gender-guesser,analyst,9,0,0,9,0,"{""networking and telecommunications"": 9}",Andy Hicks (@AndyHicks) – Analyst at GlobalData.
Andrew Schmitt,M,gender-guesser,founder_ceo,9,0,0,9,0,"{""networking and telecommunications"": 9}",Andrew Schmitt (@aschmitt) – Founder of Cignal AI.
Brad Casemore,M,gender-guesser,analyst,30,0,7,9,14,"{""networking and telecommunications"": 25, ""cloud and infrastructure"": 5}",Brad Casemore (@BradCasemore) – VP of Research at IDC.
Dana Cooperson,F,gender-guesser,analyst,8,0,0,8,0,"{""networking and telecommunications"": 8}",Dana Cooperson (@DanaCooperson) – Analyst at Analysys Mason.
Gabriel Brown,M,gender-guesser,analyst,20,0,1,7,12,"{""networking and telecommunications"": 18, ""ICT"": 2}",Gabriel Brown (@Gabeuk) – Analyst at Heavy Reading.
Courtney Munroe,unclassified,unclassified,analyst,7,0,0,7,0,"{""networking and telecommunications"": 7}","Courtney Munroe (@ccmunroe, IDC)"
Craig Matsumoto,M,gender-guesser,analyst,7,0,0,7,0,"{""networking and telecommunications"": 7}","Craig Matsumoto (@craigmatsumoto, 451 Research)"
Dan Meyer,M,gender-guesser,journalist,2,0,0,2,0,"{""networking and telecommunications"": 2}","Dan Meyer (@meyer_dan, SDxCentral editor)"
Mike Robuck,M,gender-guesser,journalist,3,0,0,3,0,"{""networking and telecommunications"": 3}","Mike Robuck (@mike_robuck, Fierce Telecom)."
"Pedrycz, Witold",M,llm-high,academic,1,0,0,1,0,"{""networking and telecommunications"": 1}","Other highly ranked individuals with this subfield include: - Pedrycz, Witold (#51)"
"Mallat, Stéphane",M,llm-high,academic,3,0,0,3,0,"{""networking and telecommunications"": 3}","Other highly ranked individuals with this subfield include: - Mallat, Stéphane (#52)"
Dr. Kumar,M,gender-guesser,academic,3,0,0,3,0,"{""networking and telecommunications"": 3}",Dr. Kumar is highlighted as top 2% by Tejas Networks
Rich Church,M,llm-high,analyst,10,0,0,10,0,"{""networking and telecommunications"": 10}","older sources (e.g., specific analysts like Rich Church[7]) lack recent citation data"
Jeff Kagan,M,gender-guesser,analyst,10,0,1,9,0,"{""networking and telecommunications"": 10}","Jeff Kagan is recognized as the single most widely quoted analyst in the telecommunications industry, according to Dick Martin"
Dick Martin,M,gender-guesser,vendor_exec,1,0,0,1,0,"{""networking and telecommunications"": 1}","according to Dick Martin, former EVP of Public Relations at AT&T, in his book Tough Calls"
James McIlree,M,gender-guesser,analyst,5,0,0,5,0,"{""networking and telecommunications"": 5}","Light Reading's best telecom analysts (e.g., Rich Church, James McIlree)"
Mike Sapien,M,gender-guesser,analyst,3,0,0,3,0,"{""networking and telecommunications"": 3}","Craig Matsumoto (@craigmatsumoto, 451 Research), Mike Sapien (@MikeSapien, Ovum), and Pauline Rigby"
Pauline Rigby,F,gender-guesser,analyst,2,0,0,2,0,"{""networking and telecommunications"": 2}","Mike Sapien (@MikeSapien, Ovum), and Pauline Rigby (@paulinerigby, Light Counting)."
Prof. Victoria Baines,F,gender-guesser,academic,1,0,0,1,0,"{""networking and telecommunications"": 1}","For broader networking voices, experts in cybersecurity (Prof. Victoria Baines) and related tech appear in adjacent fields"
Phil Cusick,M,gender-guesser,analyst,6,0,0,6,0,"{""networking and telecommunications"": 6}","Older sources mention individual analysts like Rich Church, James McIlree, and Phil Cusick, but current consensus favors firms over named individuals."
Elaina Stergiades,F,gender-guesser,analyst,2,0,0,2,0,"{""networking and telecommunications"": 2}","Elaina Stergiades (@SW_Support), Research Manager at IDC"
Ghassan Abdo,M,gender-guesser,vendor_exec,4,0,0,2,2,"{""networking and telecommunications"": 4}","Ghassan Abdo (@GhassanAbdo4), Vice President of Research at IDC"
Lee Doyle,unclassified,unclassified,analyst,9,0,3,2,4,"{""networking and telecommunications"": 9}","Lee Doyle (@leedoyle_dc), Principal Analyst at Doyle Research"
Alejandro Piñero,M,gender-guesser,analyst,1,0,0,1,0,"{""networking and telecommunications"": 1}","Alejandro Piñero (The Five Nine) and Tom Rebbeck (Analysys Mason), recognized for their insights on wireless tech"
Tom Rebbeck,M,gender-guesser,analyst,2,0,0,1,1,"{""networking and telecommunications"": 2}","Tom Rebbeck (Analysys Mason), recognized for their insights on wireless tech, AI-driven telco networks, 5G/6G"
Catherine Hammond,F,gender-guesser,analyst,1,0,0,1,0,"{""networking and telecommunications"": 1}","Tom Rebbeck, Catherine Hammond, Paul Jevons: Co-hosts of Analysys Mason Podcast, providing analysis on telecom"
Paul Jevons,M,gender-guesser,analyst,1,0,0,1,0,"{""networking and telecommunications"": 1}","Tom Rebbeck, Catherine Hammond, Paul Jevons: Co-hosts of Analysys Mason Podcast, providing analysis on telecom"
Doug Green,M,gender-guesser,journalist,1,0,0,1,0,"{""networking and telecommunications"": 1}","Doug Green: Host of Telecom Reseller podcasts, covering enterprises, partners, MSPs, and carriers in telco solutions"
Scott Stekr,M,gender-guesser,analyst,1,0,0,1,0,"{""networking and telecommunications"": 1}","Scott Stekr and Michelle Kang: Hosts of Telecommunications Industry Therapy, joined by experts on infrastructure"
Michelle Kang,F,gender-guesser,vendor_exec,1,0,0,1,0,"{""networking and telecommunications"": 1}","Scott Stekr and Michelle Kang: Hosts of Telecommunications Industry Therapy, joined by experts on infrastructure"
Scott Bicheno,M,gender-guesser,journalist,2,0,0,1,1,"{""networking and telecommunications"": 2}","Scott Bicheno and Iain Morris: Co-hosts of telecoms.com podcasts, offering perspectives on telecom developments"
Iain Morris,M,gender-guesser,journalist,3,0,0,1,2,"{""networking and telecommunications"": 3}","Scott Bicheno and Iain Morris: Co-hosts of telecoms.com podcasts, offering perspectives on telecom developments"
Blair Abernethy,unclassified,unclassified,analyst,7,0,0,7,0,"{""networking and telecommunications"": 7}","Blair Abernethy, Kevin Cassidy, and Mike Genovese from Rosenblatt Securities, who ranked in the top 100 among all technology analysts"
Kevin Cassidy,M,gender-guesser,analyst,6,0,0,6,0,"{""networking and telecommunications"": 6}","Blair Abernethy, Kevin Cassidy, and Mike Genovese from Rosenblatt Securities, who ranked in the top 100 among all technology analysts"
Mike Genovese,M,gender-guesser,analyst,8,0,0,8,0,"{""networking and telecommunications"": 8}","Mike Genovese is particularly recognized for his deep industry knowledge in communications equipment and cloud infrastructure, with over twenty years"
Ravindra K. Ahuja,M,llm-high,academic,1,0,0,1,0,"{""networking and telecommunications"": 1}","Ravindra K. Ahuja, Thomas L. Magnanti, and James B. Orlin authored Network Flows: Theory, Algorithms, and Applications (1993)"
Thomas L. Magnanti,M,gender-guesser,academic,1,0,0,1,0,"{""networking and telecommunications"": 1}","Ravindra K. Ahuja, Thomas L. Magnanti, and James B. Orlin authored Network Flows: Theory, Algorithms, and Applications (1993)"
James B. Orlin,M,gender-guesser,academic,1,0,0,1,0,"{""networking and telecommunications"": 1}","Ravindra K. Ahuja, Thomas L. Magnanti, and James B. Orlin authored Network Flows: Theory, Algorithms, and Applications (1993)"
Radhika Paliwal,F,gender-guesser,vendor_exec,1,0,0,1,0,"{""networking and telecommunications"": 1}","Radhika Paliwal, a Solutions Engineering Manager at Cisco, curates top networking books, reflecting practical expertise."
Harri Holma,M,gender-guesser,academic,1,0,0,1,0,"{""networking and telecommunications"": 1}",Popular books like LTE for UMTS by Harri Holma also indicate ongoing impact in telecom evolution.
Evan Kirstel,M,gender-guesser,influencer,4,0,0,4,0,"{""networking and telecommunications"": 4}",Evan Kirstel tops the 2025 Thinkers360 leaderboard as the #1 global thought leader and influencer on telecom
Paul Miller,M,gender-guesser,influencer,5,0,0,4,1,"{""networking and telecommunications"": 4, ""ICT"": 1}","Paul Miller: #2, recognized for influential contributions."
Eva Chen,F,gender-guesser,founder_ceo,8,0,0,8,0,"{""networking and telecommunications"": 8}","Eva Chen, co-founder and long-time CEO of Trend Micro, who transformed the company from antivirus software to an AI-driven cybersecurity platform"
Tam Dell'Oro,M,gender-guesser,founder_ceo,9,0,2,6,1,"{""networking and telecommunications"": 9}","Tam Dell'Oro, founder of Dell'Oro Group, provides critical market analysis on networking, telecom, and data centers"
Christel Heydemann,F,gender-guesser,vendor_exec,8,0,0,8,0,"{""networking and telecommunications"": 8}","Christel Heydemann (CEO, Orange Group, 132,000 employees) and Allison Kirkby (CEO, BT Group, 91,700 employees) head major operators advancing global connectivity."
Allison Kirkby,F,gender-guesser,vendor_exec,8,0,0,8,0,"{""networking and telecommunications"": 8}","Christel Heydemann (CEO, Orange Group, 132,000 employees) and Allison Kirkby (CEO, BT Group, 91,700 employees) head major operators advancing global connectivity."
Anne Chow,F,gender-guesser,vendor_exec,7,0,0,7,0,"{""networking and telecommunications"": 7}","Anne Chow, former AT&T CEO overseeing 35,000 employees and business transformations, now advises on gender equity."
Arlene Harris,F,gender-guesser,founder_ceo,7,0,0,7,0,"{""networking and telecommunications"": 7}","Arlene Harris, dubbed the ""Mother of Wireless,"" with decades shaping telecom from age 12."
Dominique Leroy,F,llm-high,vendor_exec,3,0,0,3,0,"{""networking and telecommunications"": 3}","Dominique Leroy holds the position of CEO Europe at Deutsche Telekom, overseeing 10 European countries with revenue above €11 billion and 34,000+ employees."
Katherine Ainley,F,gender-guesser,vendor_exec,7,0,0,7,0,"{""networking and telecommunications"": 7}","Katherine Ainley is CEO of Ericsson UK & Ireland, leading 5G monetization efforts across the telecoms sector."
Francesca Centoni,F,gender-guesser,vendor_exec,1,0,0,1,0,"{""networking and telecommunications"": 1}","Francesca Centoni at Cisco was promoted to Executive Vice President and Chief Customer Experience Officer, leading a team of 20,000 employees."
Dr. Shirley Ann Jackson,F,gender-guesser,academic,9,0,0,4,5,"{""networking and telecommunications"": 9}","Dr. Shirley Ann Jackson: Pioneered research in telecommunications theory, influencing caller ID, call forwarding, and fiber optic advancements."
Kellyn Smith Kenny,unclassified,unclassified,vendor_exec,1,0,0,1,0,"{""networking and telecommunications"": 1}","Kellyn Smith Kenny: AT&T's Chief Marketing and Growth Officer, directing strategies for broadband and communications growth."
Jeanne Dell'Oro,F,gender-guesser,founder_ceo,1,0,0,1,0,"{""networking and telecommunications"": 1}","Jeanne Dell'Oro: Founder of Dell'Oro Group, providing specialized market analysis in networking, telecom, and data centers."
Wimala Dissanayake,M,llm-high,founder_ceo,1,0,0,1,0,"{""networking and telecommunications"": 1}","Wimala Dissanayake: Founded Lanka Internet Networking Group and women's IGF, promoting inclusive internet governance."
Jon Postel,M,gender-guesser,practitioner,22,0,4,2,16,"{""networking and telecommunications"": 22}","Jon Postel: Edited much of the early RFC series, including versions of TCP/IP; chaired the International Network Working Group; contributed to books on communication protocols from the 1970s–1990s."
Donald Davies,M,gender-guesser,academic,3,0,0,3,0,"{""networking and telecommunications"": 3}","Other Internet pioneers like Vint Cerf, Bob Kahn, Bob Metcalfe, and Donald Davies authored seminal works, such as Cerf and Kahn's 1974 paper on packet network intercommunication"
Giovanna Centoni,F,gender-guesser,vendor_exec,1,0,0,1,0,"{""networking and telecommunications"": 1}","Giovanna Centoni, EVP and chief customer experience officer at Cisco, leading 20,000 employees in cloud, compute, IoT"
Patricia Obo-Nai,F,gender-guesser,vendor_exec,3,0,0,3,0,"{""networking and telecommunications"": 3}","Patricia Obo-Nai, first female CEO of Vodafone Ghana, empowering connectivity."
Jeff Heynen,M,gender-guesser,analyst,3,0,0,1,2,"{""networking and telecommunications"": 3}","Gabriel Brown (Heavy Reading), Jeff Heynen (Dell'Oro Group), Eric Hanselman (451 Research)."
Ashish Nadkarni,M,gender-guesser,analyst,15,0,3,8,4,"{""networking and telecommunications"": 9, ""cloud and infrastructure"": 5, ""ICT"": 1}","Ashish Nadkarni, who leads research groups at IDC focused on infrastructure systems and enterprise technologies"
Cecilia Atterwall,F,gender-guesser,vendor_exec,8,0,0,8,0,"{""networking and telecommunications"": 8}","Cecilia Atterwall, head of Marketing and Communications for Networks at Ericsson"
Stacy Hamer,unclassified,unclassified,vendor_exec,4,0,0,4,0,"{""networking and telecommunications"": 4}","Stacy Hamer: VP at iQmetrix, managing telecom client relationships with deep industry experience."
Nishant Batra,M,llm-high,vendor_exec,2,0,0,1,1,"{""networking and telecommunications"": 2}","For broader trends, follow Nokia's Nishant Batra on AI-network intersections."
Ramesh Garapaty,M,gender-guesser,vendor_exec,1,0,0,1,0,"{""networking and telecommunications"": 1}","Innovation leaders: Figures such as Ramesh Garapaty (Director of Strategic Advisory Services, Telecom at Insight Global) guide network modernization and 5G rollouts."
Dr. Yim Ling,unclassified,unclassified,academic,2,0,0,2,0,"{""networking and telecommunications"": 2}",UKRI contributors like Dr. Yim Ling and Tom Kirkham advance Telecom Network 2030 initiatives.
Tom Kirkham,M,gender-guesser,other,2,0,0,2,0,"{""networking and telecommunications"": 2}",UKRI contributors like Dr. Yim Ling and Tom Kirkham advance Telecom Network 2030 initiatives.
Patrick Halley,M,gender-guesser,founder_ceo,1,0,0,1,0,"{""networking and telecommunications"": 1}","Executives from WIA, including Patrick Halley (President and CEO), predict 2025 trends like 5G expansion, rural connectivity, neutral host models, private wireless, and AI tools"
Jayshree Ullal,F,gender-guesser,founder_ceo,20,0,1,8,11,"{""networking and telecommunications"": 18, ""cloud and infrastructure"": 2}",Jayshree Ullal (Cisco): Key executive in networking hardware.
Scott Kriens,M,gender-guesser,vendor_exec,8,0,0,8,0,"{""networking and telecommunications"": 8}",Scott Kriens (Juniper Networks): Advanced routing and switching tech.
Ke Ruiwen,unclassified,unclassified,founder_ceo,8,0,0,8,0,"{""networking and telecommunications"": 8}",Ke Ruiwen (China Telecom): Heads one of the world's largest operators.
Marc Murtra,M,gender-guesser,vendor_exec,8,0,0,8,0,"{""networking and telecommunications"": 8}",Marc Murtra (Telefónica): Drives international telecom strategy.
Edward Whitacre,M,gender-guesser,vendor_exec,8,0,0,8,0,"{""networking and telecommunications"": 8}",Edward Whitacre (AT&T): Merged and expanded major U.S. carrier.
Ivan Seidenberg,M,gender-guesser,vendor_exec,9,0,1,8,0,"{""networking and telecommunications"": 9}",Ivan Seidenberg (Verizon): Shaped wireless and broadband policies.
Paul Otellini,M,gender-guesser,vendor_exec,2,0,0,2,0,"{""networking and telecommunications"": 2}","Older lists (e.g., 2000s) emphasize CEOs like Larry Ellison (Oracle) and Paul Otellini (Intel) for infrastructure impact."
Khalid Basit,M,gender-guesser,influencer,8,0,0,8,0,"{""networking and telecommunications"": 8}",Current thought leaders include Khalid Basit and Mrinal Agrawal in telecom innovation (2025 rankings).
Mrinal Agrawal,F,gender-guesser,influencer,8,0,0,8,0,"{""networking and telecommunications"": 8}",Current thought leaders include Khalid Basit and Mrinal Agrawal in telecom innovation (2025 rankings).
Joseph Nacchio,M,gender-guesser,vendor_exec,4,0,0,4,0,"{""networking and telecommunications"": 4}",Joseph Nacchio (Qwest): Historical influencer in competitive long-distance.
Charlie Giancarlo,M,llm-high,vendor_exec,5,0,0,5,0,"{""networking and telecommunications"": 5}",Charlie Giancarlo (Cisco): Noted for technical and strategic impact.
Dawn Song,F,gender-guesser,academic,49,0,48,0,1,"{""ICT"": 2, ""cybersecurity"": 47}",Dawn Song - Cybersecurity and blockchain expert (UC Berkeley)
Zeynep Tufekci,F,gender-guesser,academic,30,0,21,0,9,"{""ICT"": 27, ""cybersecurity"": 2, ""data and analytics"": 1}",Zeynep Tufekci - Technology and society researcher
Scott McNealy,M,gender-guesser,founder_ceo,1,0,0,1,0,"{""networking and telecommunications"": 1}","Older influential names from 2000s lists include Eric Schmidt (Google), Scott McNealy (Sun), and Mark Hurd (HP)."
Mark Hurd,M,gender-guesser,vendor_exec,2,0,0,2,0,"{""networking and telecommunications"": 2}","Older influential names from 2000s lists include Eric Schmidt (Google), Scott McNealy (Sun), and Mark Hurd (HP)."
Louis Pouzin,M,gender-guesser,academic,1,0,0,1,0,"{""networking and telecommunications"": 1}","Internet pioneers like Vint Cerf, Bob Kahn, Bob Metcalfe (Ethernet inventor), and Louis Pouzin laid foundational protocols"
Kevin Martin,M,gender-guesser,other,2,0,0,2,0,"{""networking and telecommunications"": 2}",Early 2000s emphasized CEOs like Bill Gates (Microsoft) and regulators like Kevin Martin (FCC)
John Preskill,M,gender-guesser,academic,5,0,1,0,4,"{""ICT"": 5}","Quantum Computing: John Preskill, Peter Shor"
Peter Shor,M,gender-guesser,academic,1,0,1,0,0,"{""ICT"": 1}","Quantum Computing: John Preskill, Peter Shor"
Vitalik Buterin,M,llm-high,founder_ceo,7,0,4,0,3,"{""ICT"": 7}",Blockchain: Vitalik Buterin (Ethereum)
Patricia Russo,F,gender-guesser,vendor_exec,1,0,0,1,0,"{""networking and telecommunications"": 1}","Historical figures: Joseph Nacchio (Qwest), Patricia Russo (Lucent)."
Leslie Lamport,M,llm-high,academic,23,0,17,0,6,"{""ICT"": 2, ""software engineering"": 19, ""cloud and infrastructure"": 1, ""networking and telecommunications"": 1}",Leslie Lamport - Distributed systems
Dr. Safiya Umoja Noble,F,llm-high,academic,23,0,11,0,12,"{""ICT"": 12, ""AI and machine learning"": 4, ""data and analytics"": 7}","Safiya Noble - Algorithmic bias, digital equity"
Lina Khan,F,gender-guesser,practitioner,7,0,6,0,1,"{""ICT"": 7}","Lina Khan (US FTC) - Tech regulation, competition policy"
Ethan Zuckerman,M,gender-guesser,academic,4,0,4,0,0,"{""ICT"": 4}",Ethan Zuckerman - Digital civic engagement
Eli Pariser,F,gender-guesser,founder_ceo,3,0,2,0,1,"{""ICT"": 3}",Eli Pariser - Filter bubbles and information quality
Andreas Antonopoulos,M,gender-guesser,influencer,3,0,2,0,1,"{""ICT"": 3}",Andreas Antonopoulos - Bitcoin and cryptocurrency education
Rebecca MacKinnon,F,gender-guesser,other,3,0,3,0,0,"{""ICT"": 3}",Rebecca MacKinnon - Internet freedom advocate
Casey Newton,unclassified,unclassified,journalist,12,0,7,0,5,"{""ICT"": 9, ""AI and machine learning"": 3}",Casey Newton - Technology journalist covering social media
Cathy Hughes,F,gender-guesser,other,1,0,1,0,0,"{""ICT"": 1}",Cathy Hughes - Digital policy expert
John Legere,M,gender-guesser,founder_ceo,2,0,2,0,0,"{""ICT"": 2}",John Legere (former T-Mobile CEO) - Mobile communications innovation
Matt Turck,M,gender-guesser,analyst,12,0,9,0,3,"{""ICT"": 1, ""AI and machine learning"": 10, ""data and analytics"": 1}",Matt Turck - Data/AI landscape expert
